import time: self [us] | cumulative | imported package
import time:    400685 |    9610581 |               pandas._libs.missing
import time:    253229 |    9863809 |             pandas._libs.hashtable
import time:     61366 |      61366 |             pandas._libs.algos
import time:    428414 |   10353588 |           pandas._libs.interval
import time:    536471 |   10946570 |         pandas._libs
import time:     38866 |      38866 |           pandas.core.dtypes
import time:     29531 |      29531 |           pandas._libs.lib
import time:     22904 |      22904 |           pandas.errors
import time:     18300 |      18300 |             pandas.core.dtypes.generic
import time:    206868 |     225168 |           pandas.core.dtypes.base
import time:     20654 |      20654 |           pandas.core.dtypes.inference
import time:   1214696 |    1551818 |         pandas.core.dtypes.dtypes
import time:     26735 |      26735 |           pandas.core.dtypes.common
import time:    305283 |     332017 |         pandas.core.dtypes.missing
import time:     20771 |      20771 |           pandas.util._decorators
import time:     37246 |      37246 |               pandas.io
import time:    202443 |     239688 |             pandas.io._util
import time:    250786 |     490474 |           pandas.core.dtypes.cast
import time:     21959 |      21959 |             pandas.core.dtypes.astype
import time:    332494 |     354453 |           pandas.core.dtypes.concat
import time:    158552 |     158552 |             pandas.core.array_algos
import time:     50812 |      50812 |                 numpy.ma.core
import time:     20064 |      20064 |                 numpy.ma.extras
import time:    626112 |     696988 |               numpy.ma
import time:     25471 |      25471 |               pandas.core.common
import time:    606938 |    1329397 |             pandas.core.construction
import time:    421789 |    1909737 |           pandas.core.array_algos.take
import time:     30809 |      30809 |             pandas.core.indexers.utils
import time:    190667 |     221475 |           pandas.core.indexers
import time:   1084299 |    4081206 |         pandas.core.algorithms
import time:    189451 |     189451 |                 pyarrow._compute
import time:     18793 |      18793 |                 pyarrow._compute_docstrings
import time:     22505 |      22505 |                 pyarrow.vendored
import time:      4123 |       4123 |                     pkgutil
import time:    163591 |     167713 |                   pydoc
import time:    193158 |     360871 |                 pyarrow.vendored.docscrape
import time:    958910 |    1550528 |               pyarrow.compute
import time:    227436 |    1777964 |             pandas.core.arrays.arrow.accessors
import time:      6627 |       6627 |               unicodedata
import time:     19589 |      19589 |               pandas.util._validators
import time:     20085 |      20085 |               pandas.core.missing
import time:     25649 |      25649 |                   pandas._libs.ops
import time:     18234 |      18234 |                   pandas.core.roperator
import time:     65279 |      65279 |                   pandas.core.computation
import time:     38412 |      38412 |                       numexpr.interpreter
import time:     18468 |      18468 |                       numexpr.expressions
import time:     14907 |      14907 |                           numexpr.version
import time:    344998 |     359905 |                         numexpr.utils
import time:    239449 |     599354 |                       numexpr.necompiler
import time:    617627 |    1273860 |                     pandas.core.computation.check
import time:    221741 |    1495600 |                   pandas.core.computation.expressions
import time:     21220 |      21220 |                   pandas.core.ops.missing
import time:     99806 |      99806 |                   pandas.core.ops.dispatch
import time:     26804 |      26804 |                   pandas.core.ops.invalid
import time:   1431435 |    3184023 |                 pandas.core.ops.array_ops
import time:     17727 |      17727 |                 pandas.core.ops.common
import time:     25113 |      25113 |                 pandas.core.ops.docstrings
import time:     32853 |      32853 |                 pandas.core.ops.mask_ops
import time:    782539 |    4042254 |               pandas.core.ops
import time:     23648 |      23648 |               pandas.core.arraylike
import time:     20730 |      20730 |               pandas.core.arrays._arrow_string_mixins
import time:     20435 |      20435 |               pandas.core.arrays._utils
import time:     21575 |      21575 |                 pandas.compat.numpy.function
import time:     17130 |      17130 |                 pandas.core.array_algos.quantile
import time:    102632 |     102632 |                 pandas.core.sorting
import time:    678773 |     820108 |               pandas.core.arrays.base
import time:     32391 |      32391 |                     bottleneck.benchmark
import time:      3146 |       3146 |                       timeit
import time:    249527 |     252672 |                     bottleneck.benchmark.autotimeit
import time:    533892 |     818954 |                   bottleneck.benchmark.bench
import time:     26736 |      26736 |                   bottleneck.benchmark.bench_detailed
import time:     28642 |      28642 |                     bottleneck.tests
import time:    259839 |     288481 |                   bottleneck.tests.util
import time:     37284 |      37284 |                     bottleneck.slow.reduce
import time:     87696 |      87696 |                     bottleneck.slow.nonreduce
import time:     22423 |      22423 |                     bottleneck.slow.nonreduce_axis
import time:     45128 |      45128 |                     bottleneck.slow.move
import time:    995658 |    1188187 |                   bottleneck.slow
import time:     81278 |      81278 |                   bottleneck._pytesttester
import time:     39311 |      39311 |                   bottleneck.move
import time:     37387 |      37387 |                   bottleneck.nonreduce
import time:     33986 |      33986 |                   bottleneck.nonreduce_axis
import time:     43819 |      43819 |                   bottleneck.reduce
import time:       242 |        242 |                           _json
import time:    163158 |     163399 |                         json.scanner
import time:    162987 |     326386 |                       json.decoder
import time:      2159 |       2159 |                       json.encoder
import time:    337722 |     666266 |                     json
import time:    182120 |     848385 |                   bottleneck._version
import time:   2186759 |    5593279 |                 pandas.core.nanops
import time:     20201 |      20201 |                 pandas.core.array_algos.masked_accumulations
import time:     22969 |      22969 |                 pandas.core.array_algos.masked_reductions
import time:     22040 |      22040 |                   pandas.core.util
import time:     24326 |      24326 |                   pandas._libs.hashing
import time:    348280 |     394646 |                 pandas.core.util.hashing
import time:    785169 |    6816262 |               pandas.core.arrays.masked
import time:     23335 |      23335 |                 pandas._libs.arrays
import time:     20425 |      20425 |                   pandas.core.arrays.numeric
import time:    230974 |     251399 |                 pandas.core.arrays.floating
import time:    101404 |     101404 |                 pandas.core.arrays.integer
import time:     30438 |      30438 |                     pandas.core.array_algos.transforms
import time:    237910 |     268348 |                   pandas.core.arrays._mixins
import time:     32419 |      32419 |                     pandas.core.strings
import time:     15525 |      15525 |                     pandas.core.strings.base
import time:    404025 |     451969 |                   pandas.core.strings.object_array
import time:    441611 |    1161927 |                 pandas.core.arrays.numpy_
import time:     20036 |      20036 |                 pandas.io.formats
import time:     15607 |      15607 |                   pandas.io.formats.console
import time:    215546 |     231152 |                 pandas.io.formats.printing
import time:   1136763 |    2926014 |               pandas.core.arrays.string_
import time:     20180 |      20180 |                 pandas.tseries
import time:    204567 |     224747 |               pandas.tseries.frequencies
import time:   2223901 |   17164396 |             pandas.core.arrays.arrow.array
import time:    441346 |   19383705 |           pandas.core.arrays.arrow
import time:     17074 |      17074 |           pandas.core.arrays.boolean
import time:     24953 |      24953 |             pandas.core.accessor
import time:     19843 |      19843 |             pandas.core.base
import time:    389210 |     434004 |           pandas.core.arrays.categorical
import time:     28486 |      28486 |             pandas._libs.tslib
import time:     18940 |      18940 |               pandas.core.array_algos.datetimelike_accumulations
import time:    289979 |     308919 |             pandas.core.arrays.datetimelike
import time:     19321 |      19321 |             pandas.core.arrays._ranges
import time:     20047 |      20047 |             pandas.tseries.offsets
import time:    702944 |    1079715 |           pandas.core.arrays.datetimes
import time:     27345 |      27345 |             pandas.core.arrays.timedeltas
import time:    305688 |     333033 |           pandas.core.arrays.interval
import time:     23666 |      23666 |           pandas.core.arrays.period
import time:     32923 |      32923 |                 pandas._libs.sparse
import time:    212032 |     244955 |               pandas.core.arrays.sparse.array
import time:    262646 |     507601 |             pandas.core.arrays.sparse.accessor
import time:    233484 |     741085 |           pandas.core.arrays.sparse
import time:     97925 |      97925 |           pandas.core.arrays.string_arrow
import time:   1558722 |   23668925 |         pandas.core.arrays
import time:     19215 |      19215 |         pandas.core.flags
import time:     25339 |      25339 |               pandas._libs.internals
import time:     20686 |      20686 |                 pandas.core._numba
import time:    224975 |     245661 |               pandas.core._numba.executor
import time:    448483 |     719481 |             pandas.core.apply
import time:     17520 |      17520 |                   pandas._libs.indexing
import time:     30990 |      30990 |                     pandas.core.indexes
import time:     29158 |      29158 |                       pandas._libs.index
import time:     47251 |      47251 |                       pandas._libs.writers
import time:     44567 |      44567 |                       pandas._libs.join
import time:     28345 |      28345 |                       pandas.core.array_algos.putmask
import time:     26194 |      26194 |                       pandas.core.indexes.frozen
import time:     46883 |      46883 |                       pandas.core.strings.accessor
import time:   1782576 |    2004971 |                     pandas.core.indexes.base
import time:     35617 |      35617 |                       pandas.core.indexes.extension
import time:    256110 |     291726 |                     pandas.core.indexes.category
